defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,defect_month
1,15,Structural,2024-06-06,Component,Minor,Visual Inspection,245.47,2024-06
2,6,Functional,2024-04-26,Component,Minor,Visual Inspection,26.87,2024-04
3,84,Structural,2024-02-15,Internal,Minor,Automated Testing,835.81,2024-02
4,10,Functional,2024-03-28,Internal,Critical,Automated Testing,444.47,2024-03
5,14,Cosmetic,2024-04-26,Component,Minor,Manual Testing,823.64,2024-04
6,17,Functional,2024-05-11,Internal,Moderate,Visual Inspection,788.11,2024-05
7,85,Cosmetic,2024-05-23,Internal,Critical,Manual Testing,33.68,2024-05
8,90,Structural,2024-01-15,Internal,Moderate,Manual Testing,65.56,2024-01
9,30,Structural,2024-01-26,Component,Critical,Manual Testing,848.61,2024-01
10,20,Structural,2024-06-05,Component,Critical,Visual Inspection,478.48,2024-06
11,45,Structural,2024-04-28,Surface,Moderate,Automated Testing,217.96,2024-04
12,86,Structural,2024-02-25,Component,Minor,Manual Testing,485.02,2024-02
13,87,Cosmetic,2024-06-20,Component,Minor,Visual Inspection,714.63,2024-06
14,72,Cosmetic,2024-05-08,Surface,Critical,Manual Testing,603.94,2024-05
15,74,Cosmetic,2024-05-03,Component,Critical,Manual Testing,189.55,2024-05
16,10,Functional,2024-01-20,Component,Minor,Automated Testing,458.79,2024-01
17,53,Structural,2024-05-14,Internal,Minor,Visual Inspection,509.35,2024-05
18,63,Cosmetic,2024-05-21,Component,Critical,Visual Inspection,538.99,2024-05
19,28,Functional,2024-02-15,Internal,Critical,Manual Testing,34.93,2024-02
20,81,Structural,2024-05-25,Internal,Moderate,Manual Testing,557.11,2024-05
21,67,Functional,2024-05-03,Surface,Minor,Visual Inspection,831.43,2024-05
22,6,Structural,2024-03-06,Surface,Minor,Visual Inspection,504.9,2024-03
23,33,Structural,2024-05-06,Surface,Moderate,Automated Testing,349.23,2024-05
24,15,Structural,2024-02-23,Component,Critical,Visual Inspection,560.39,2024-02
25,13,Cosmetic,2024-02-19,Surface,Moderate,Manual Testing,629.71,2024-02
26,39,Structural,2024-06-15,Component,Moderate,Visual Inspection,975.44,2024-06
27,60,Cosmetic,2024-05-08,Component,Moderate,Manual Testing,737.54,2024-05
28,42,Structural,2024-01-02,Component,Critical,Manual Testing,592.87,2024-01
29,3,Structural,2024-01-13,Component,Moderate,Automated Testing,99.82,2024-01
30,17,Functional,2024-01-22,Surface,Critical,Visual Inspection,106.34,2024-01
31,30,Structural,2024-04-30,Surface,Critical,Automated Testing,352.58,2024-04
32,25,Structural,2024-03-29,Surface,Moderate,Visual Inspection,734.12,2024-03
33,14,Cosmetic,2024-05-15,Internal,Minor,Visual Inspection,953.54,2024-05
34,58,Structural,2024-06-19,Surface,Critical,Manual Testing,753.89,2024-06
35,48,Functional,2024-04-04,Component,Critical,Automated Testing,955.91,2024-04
36,20,Structural,2024-06-04,Surface,Critical,Automated Testing,776.91,2024-06
37,68,Cosmetic,2024-01-20,Internal,Critical,Manual Testing,607.96,2024-01
38,51,Functional,2024-06-08,Internal,Moderate,Automated Testing,107.7,2024-06
39,12,Functional,2024-06-25,Internal,Critical,Manual Testing,27.24,2024-06
40,92,Cosmetic,2024-01-06,Surface,Critical,Visual Inspection,370.83,2024-01
41,63,Functional,2024-03-11,Component,Minor,Manual Testing,526.08,2024-03
42,49,Functional,2024-05-18,Surface,Critical,Automated Testing,144.38,2024-05
43,72,Cosmetic,2024-03-23,Surface,Moderate,Visual Inspection,534.33,2024-03
44,24,Structural,2024-05-18,Surface,Minor,Visual Inspection,456.8,2024-05
45,64,Functional,2024-05-27,Surface,Minor,Automated Testing,215.01,2024-05
46,36,Structural,2024-04-24,Surface,Moderate,Manual Testing,824.3,2024-04
47,79,Structural,2024-02-14,Component,Critical,Manual Testing,769.28,2024-02
48,36,Structural,2024-01-03,Component,Moderate,Manual Testing,160.25,2024-01
49,65,Functional,2024-02-24,Component,Minor,Automated Testing,386.17,2024-02
50,9,Functional,2024-01-06,Component,Moderate,Manual Testing,572.08,2024-01
51,10,Structural,2024-06-26,Internal,Minor,Visual Inspection,433.85,2024-06
52,7,Structural,2024-05-19,Surface,Minor,Manual Testing,338.1,2024-05
53,81,Functional,2024-01-03,Surface,Critical,Automated Testing,93.13,2024-01
54,62,Cosmetic,2024-05-14,Component,Moderate,Visual Inspection,308.37,2024-05
55,29,Structural,2024-03-23,Internal,Critical,Automated Testing,396.58,2024-03
56,73,Structural,2024-01-19,Surface,Minor,Automated Testing,957.6,2024-01
57,86,Structural,2024-03-06,Internal,Moderate,Automated Testing,205.19,2024-03
58,5,Cosmetic,2024-05-25,Component,Critical,Manual Testing,300.27,2024-05
59,79,Structural,2024-03-10,Internal,Critical,Automated Testing,671.22,2024-03
60,87,Functional,2024-02-18,Surface,Minor,Visual Inspection,395.1,2024-02
61,60,Structural,2024-06-11,Component,Critical,Visual Inspection,675.89,2024-06
62,43,Cosmetic,2024-03-08,Component,Moderate,Visual Inspection,523.02,2024-03
63,52,Structural,2024-01-02,Surface,Critical,Manual Testing,337.5,2024-01
64,2,Cosmetic,2024-01-11,Surface,Minor,Automated Testing,830.89,2024-01
65,22,Functional,2024-04-16,Component,Critical,Visual Inspection,84.97,2024-04
66,31,Functional,2024-05-24,Internal,Minor,Visual Inspection,771.96,2024-05
67,87,Functional,2024-03-15,Internal,Minor,Automated Testing,46.43,2024-03
68,11,Cosmetic,2024-04-16,Internal,Minor,Automated Testing,31.91,2024-04
69,33,Cosmetic,2024-05-19,Component,Moderate,Automated Testing,845.8,2024-05
70,17,Functional,2024-02-19,Component,Minor,Manual Testing,729.55,2024-02
71,71,Cosmetic,2024-03-05,Surface,Moderate,Automated Testing,187.03,2024-03
72,35,Structural,2024-06-29,Component,Moderate,Automated Testing,470.35,2024-06
73,15,Functional,2024-05-20,Internal,Minor,Visual Inspection,662.35,2024-05
74,43,Functional,2024-04-04,Component,Critical,Visual Inspection,509.97,2024-04
75,2,Functional,2024-01-03,Component,Critical,Manual Testing,352.33,2024-01
76,36,Functional,2024-03-27,Surface,Minor,Manual Testing,228.22,2024-03
77,64,Functional,2024-02-06,Component,Critical,Manual Testing,632.45,2024-02
78,28,Functional,2024-06-20,Component,Critical,Automated Testing,975.87,2024-06
79,69,Structural,2024-03-23,Internal,Moderate,Visual Inspection,967.14,2024-03
80,75,Structural,2024-01-11,Surface,Moderate,Automated Testing,992.69,2024-01
81,69,Functional,2024-03-14,Surface,Minor,Manual Testing,827.74,2024-03
82,74,Structural,2024-04-02,Component,Critical,Automated Testing,270.97,2024-04
83,69,Structural,2024-04-11,Surface,Critical,Visual Inspection,712.98,2024-04
84,11,Structural,2024-06-24,Component,Critical,Manual Testing,556.05,2024-06
85,92,Structural,2024-04-27,Component,Minor,Manual Testing,200.11,2024-04
86,70,Structural,2024-01-14,Component,Moderate,Automated Testing,660.05,2024-01
87,22,Structural,2024-01-21,Component,Moderate,Manual Testing,220.96,2024-01
88,9,Functional,2024-02-09,Component,Critical,Visual Inspection,776.54,2024-02
89,6,Functional,2024-05-01,Surface,Moderate,Visual Inspection,920.26,2024-05
90,58,Structural,2024-02-17,Internal,Moderate,Visual Inspection,492.22,2024-02
91,98,Cosmetic,2024-03-07,Surface,Critical,Manual Testing,513.45,2024-03
92,93,Functional,2024-06-30,Component,Moderate,Automated Testing,286.28,2024-06
93,10,Functional,2024-04-01,Surface,Minor,Automated Testing,698.89,2024-04
94,72,Cosmetic,2024-02-02,Internal,Critical,Visual Inspection,555.25,2024-02
95,36,Cosmetic,2024-05-16,Component,Moderate,Manual Testing,465.92,2024-05
96,11,Structural,2024-03-08,Component,Critical,Manual Testing,732.13,2024-03
97,56,Structural,2024-03-15,Component,Moderate,Automated Testing,582.46,2024-03
98,67,Cosmetic,2024-03-10,Component,Moderate,Visual Inspection,647.7,2024-03
99,67,Structural,2024-04-08,Component,Critical,Visual Inspection,536.57,2024-04
100,8,Functional,2024-04-24,Surface,Minor,Visual Inspection,673.85,2024-04
101,27,Structural,2024-01-25,Internal,Minor,Manual Testing,871.1,2024-01
102,79,Structural,2024-06-25,Internal,Critical,Visual Inspection,973.66,2024-06
103,87,Functional,2024-05-31,Internal,Critical,Visual Inspection,787.42,2024-05
104,1,Structural,2024-06-25,Surface,Minor,Manual Testing,338.48,2024-06
105,49,Structural,2024-04-30,Component,Critical,Visual Inspection,922.07,2024-04
106,9,Functional,2024-05-14,Surface,Moderate,Manual Testing,137.41,2024-05
107,63,Structural,2024-06-28,Surface,Critical,Automated Testing,17.89,2024-06
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3,2024-01
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5,2024-02
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15,2024-03
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42,2024-05
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46,2024-01
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27,2024-04
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47,2024-01
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23,2024-04
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79,2024-01
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65,2024-01
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8,2024-04
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21,2024-03
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58,2024-03
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84,2024-06
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18,2024-04
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81,2024-02
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66,2024-03
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03,2024-03
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77,2024-02
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22,2024-05
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38,2024-03
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61,2024-06
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46,2024-04
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08,2024-05
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32,2024-04
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78,2024-03
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71,2024-02
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01,2024-02
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52,2024-02
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25,2024-04
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71,2024-03
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33,2024-06
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54,2024-04
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88,2024-01
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91,2024-03
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79,2024-05
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34,2024-06
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02,2024-01
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23,2024-04
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31,2024-04
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88,2024-01
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18,2024-01
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84,2024-03
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15,2024-06
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7,2024-01
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04,2024-01
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52,2024-05
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64,2024-01
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9,2024-05
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22,2024-05
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74,2024-01
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8,2024-05
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77,2024-05
161,56,Cosmetic,2024-05-21,Component,Minor,Visual Inspection,612.03,2024-05
162,56,Functional,2024-02-09,Component,Moderate,Manual Testing,614.11,2024-02
163,12,Cosmetic,2024-01-30,Surface,Minor,Manual Testing,238.39,2024-01
164,6,Structural,2024-04-20,Internal,Minor,Visual Inspection,986.51,2024-04
165,30,Cosmetic,2024-05-06,Component,Critical,Automated Testing,796.76,2024-05
166,34,Functional,2024-02-15,Component,Minor,Visual Inspection,105.27,2024-02
167,99,Cosmetic,2024-01-27,Surface,Moderate,Automated Testing,950.97,2024-01
168,14,Structural,2024-06-29,Surface,Critical,Visual Inspection,517.41,2024-06
169,70,Cosmetic,2024-06-03,Surface,Critical,Manual Testing,789.62,2024-06
170,4,Functional,2024-05-16,Internal,Moderate,Visual Inspection,942.03,2024-05
171,74,Cosmetic,2024-04-26,Surface,Moderate,Manual Testing,352.05,2024-04
172,25,Cosmetic,2024-01-02,Component,Critical,Automated Testing,10.22,2024-01
173,74,Cosmetic,2024-03-29,Component,Moderate,Automated Testing,932.23,2024-03
174,51,Functional,2024-05-29,Surface,Critical,Automated Testing,715.22,2024-05
175,6,Structural,2024-02-19,Internal,Moderate,Manual Testing,999.64,2024-02
176,13,Structural,2024-03-09,Surface,Critical,Manual Testing,952.49,2024-03
177,34,Structural,2024-01-21,Internal,Minor,Manual Testing,174.76,2024-01
178,51,Functional,2024-01-17,Internal,Minor,Visual Inspection,755.15,2024-01
179,44,Structural,2024-04-23,Surface,Moderate,Automated Testing,532.6,2024-04
180,64,Structural,2024-01-07,Component,Minor,Manual Testing,854.25,2024-01
181,91,Functional,2024-02-29,Internal,Minor,Automated Testing,383.83,2024-02
182,80,Functional,2024-01-27,Internal,Moderate,Manual Testing,80.0,2024-01
183,8,Structural,2024-02-02,Component,Critical,Visual Inspection,970.31,2024-02
184,14,Functional,2024-02-09,Internal,Moderate,Visual Inspection,517.63,2024-02
185,64,Structural,2024-01-15,Surface,Moderate,Automated Testing,81.33,2024-01
186,21,Structural,2024-03-29,Component,Critical,Manual Testing,540.92,2024-03
187,13,Cosmetic,2024-04-27,Internal,Critical,Visual Inspection,280.77,2024-04
188,56,Structural,2024-06-02,Internal,Moderate,Automated Testing,87.28,2024-06
189,95,Cosmetic,2024-02-23,Surface,Minor,Manual Testing,306.56,2024-02
190,4,Functional,2024-06-22,Surface,Critical,Automated Testing,86.46,2024-06
191,80,Cosmetic,2024-01-12,Surface,Critical,Manual Testing,13.03,2024-01
192,95,Functional,2024-03-21,Component,Critical,Visual Inspection,525.07,2024-03
193,28,Cosmetic,2024-05-21,Component,Critical,Manual Testing,219.71,2024-05
194,1,Structural,2024-03-03,Component,Critical,Visual Inspection,192.21,2024-03
195,17,Structural,2024-02-18,Component,Moderate,Automated Testing,924.13,2024-02
196,18,Structural,2024-06-21,Component,Minor,Manual Testing,65.23,2024-06
197,76,Cosmetic,2024-05-28,Internal,Moderate,Automated Testing,481.7,2024-05
198,28,Cosmetic,2024-04-14,Surface,Minor,Manual Testing,561.27,2024-04
199,75,Structural,2024-01-30,Internal,Moderate,Visual Inspection,169.54,2024-01
200,78,Cosmetic,2024-04-04,Surface,Moderate,Visual Inspection,629.38,2024-04
201,8,Cosmetic,2024-01-04,Surface,Critical,Automated Testing,783.36,2024-01
202,97,Structural,2024-05-25,Surface,Moderate,Automated Testing,102.88,2024-05
203,22,Structural,2024-04-05,Component,Minor,Manual Testing,269.04,2024-04
204,82,Functional,2024-01-20,Surface,Moderate,Visual Inspection,257.33,2024-01
205,17,Structural,2024-05-28,Component,Critical,Automated Testing,824.37,2024-05
206,59,Functional,2024-05-29,Surface,Minor,Manual Testing,303.59,2024-05
207,69,Functional,2024-04-22,Internal,Critical,Automated Testing,793.3,2024-04
208,22,Functional,2024-01-31,Surface,Critical,Manual Testing,929.05,2024-01
209,76,Functional,2024-05-20,Internal,Moderate,Manual Testing,473.36,2024-05
210,59,Functional,2024-01-25,Surface,Minor,Automated Testing,478.17,2024-01
211,61,Structural,2024-03-12,Component,Critical,Manual Testing,430.49,2024-03
212,69,Functional,2024-05-07,Surface,Moderate,Automated Testing,460.93,2024-05
213,75,Cosmetic,2024-01-30,Internal,Moderate,Visual Inspection,917.3,2024-01
214,42,Structural,2024-01-02,Surface,Minor,Manual Testing,520.21,2024-01
215,38,Functional,2024-01-07,Internal,Critical,Manual Testing,575.58,2024-01
216,5,Structural,2024-01-13,Internal,Moderate,Visual Inspection,296.41,2024-01
217,10,Cosmetic,2024-05-28,Surface,Critical,Automated Testing,622.98,2024-05
218,21,Functional,2024-05-10,Internal,Critical,Visual Inspection,484.08,2024-05
219,92,Cosmetic,2024-04-26,Component,Critical,Manual Testing,479.31,2024-04
220,29,Functional,2024-04-05,Surface,Minor,Manual Testing,624.22,2024-04
221,49,Functional,2024-06-11,Component,Critical,Manual Testing,777.18,2024-06
222,28,Functional,2024-02-12,Component,Critical,Automated Testing,842.93,2024-02
223,87,Cosmetic,2024-01-26,Surface,Critical,Manual Testing,974.99,2024-01
224,51,Functional,2024-04-24,Component,Critical,Manual Testing,989.81,2024-04
225,64,Structural,2024-04-23,Component,Moderate,Visual Inspection,484.04,2024-04
226,77,Cosmetic,2024-06-04,Internal,Minor,Automated Testing,38.39,2024-06
227,23,Functional,2024-06-23,Surface,Minor,Visual Inspection,334.53,2024-06
228,89,Functional,2024-02-04,Component,Moderate,Manual Testing,580.74,2024-02
229,30,Functional,2024-03-24,Surface,Critical,Manual Testing,638.28,2024-03
230,88,Structural,2024-01-28,Component,Minor,Manual Testing,727.86,2024-01
231,47,Structural,2024-03-11,Internal,Moderate,Manual Testing,117.74,2024-03
232,74,Functional,2024-05-25,Component,Critical,Automated Testing,891.94,2024-05
233,53,Structural,2024-03-17,Surface,Minor,Visual Inspection,440.58,2024-03
234,39,Structural,2024-02-17,Internal,Minor,Automated Testing,310.96,2024-02
235,4,Cosmetic,2024-01-28,Internal,Critical,Manual Testing,430.74,2024-01
236,29,Cosmetic,2024-05-05,Surface,Minor,Automated Testing,47.99,2024-05
237,31,Cosmetic,2024-06-30,Component,Moderate,Visual Inspection,728.13,2024-06
238,75,Structural,2024-02-06,Component,Critical,Visual Inspection,890.35,2024-02
239,88,Functional,2024-03-12,Surface,Minor,Manual Testing,356.55,2024-03
240,14,Structural,2024-05-04,Internal,Moderate,Visual Inspection,271.51,2024-05
241,80,Structural,2024-03-19,Surface,Minor,Manual Testing,288.31,2024-03
242,13,Functional,2024-02-08,Component,Critical,Automated Testing,663.49,2024-02
243,5,Functional,2024-06-18,Internal,Moderate,Manual Testing,711.77,2024-06
244,67,Structural,2024-06-04,Surface,Moderate,Visual Inspection,822.12,2024-06
245,35,Cosmetic,2024-05-27,Component,Critical,Visual Inspection,889.52,2024-05
246,81,Structural,2024-03-30,Surface,Minor,Automated Testing,471.55,2024-03
247,24,Cosmetic,2024-04-22,Internal,Critical,Automated Testing,136.69,2024-04
248,65,Structural,2024-03-27,Component,Minor,Automated Testing,148.61,2024-03
249,13,Structural,2024-05-16,Surface,Moderate,Manual Testing,768.39,2024-05
