defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,defect_month
500,100,Functional,2024-04-19,Surface,Moderate,Manual Testing,617.36,2024-04
501,46,Structural,2024-01-13,Surface,Minor,Visual Inspection,922.52,2024-01
502,62,Structural,2024-04-26,Surface,Minor,Automated Testing,81.91,2024-04
503,91,Cosmetic,2024-06-13,Surface,Critical,Manual Testing,40.19,2024-06
504,74,Cosmetic,2024-05-26,Internal,Moderate,Manual Testing,943.79,2024-05
505,92,Structural,2024-04-11,Surface,Minor,Visual Inspection,411.9,2024-04
506,66,Structural,2024-05-05,Internal,Critical,Visual Inspection,759.53,2024-05
507,81,Cosmetic,2024-01-15,Component,Critical,Manual Testing,368.11,2024-01
508,41,Functional,2024-04-04,Surface,Moderate,Visual Inspection,27.9,2024-04
509,91,Structural,2024-04-21,Internal,Critical,Automated Testing,670.09,2024-04
510,35,Functional,2024-05-24,Internal,Critical,Automated Testing,790.76,2024-05
511,12,Cosmetic,2024-06-20,Internal,Moderate,Manual Testing,769.88,2024-06
512,77,Cosmetic,2024-05-06,Internal,Critical,Automated Testing,262.6,2024-05
513,11,Cosmetic,2024-03-23,Surface,Moderate,Visual Inspection,520.44,2024-03
514,93,Structural,2024-05-19,Component,Minor,Visual Inspection,624.75,2024-05
515,3,Structural,2024-03-22,Internal,Moderate,Manual Testing,496.27,2024-03
516,43,Functional,2024-06-20,Component,Moderate,Automated Testing,368.54,2024-06
517,88,Cosmetic,2024-06-12,Internal,Moderate,Manual Testing,942.94,2024-06
518,4,Cosmetic,2024-03-28,Internal,Critical,Automated Testing,449.63,2024-03
519,96,Functional,2024-06-18,Internal,Critical,Manual Testing,117.82,2024-06
520,75,Functional,2024-05-12,Internal,Critical,Visual Inspection,300.05,2024-05
521,86,Structural,2024-01-07,Surface,Critical,Visual Inspection,975.1,2024-01
522,70,Structural,2024-01-13,Surface,Critical,Manual Testing,74.36,2024-01
523,6,Functional,2024-01-08,Component,Moderate,Automated Testing,924.05,2024-01
524,14,Cosmetic,2024-02-10,Surface,Minor,Visual Inspection,132.39,2024-02
525,77,Functional,2024-02-24,Surface,Critical,Manual Testing,893.77,2024-02
526,65,Structural,2024-02-10,Surface,Minor,Manual Testing,142.64,2024-02
527,70,Structural,2024-04-19,Component,Minor,Manual Testing,368.94,2024-04
528,8,Functional,2024-06-10,Internal,Minor,Automated Testing,997.03,2024-06
529,54,Structural,2024-01-02,Surface,Minor,Manual Testing,496.1,2024-01
530,98,Functional,2024-02-02,Surface,Critical,Automated Testing,798.12,2024-02
531,82,Cosmetic,2024-02-08,Internal,Critical,Visual Inspection,572.74,2024-02
532,6,Structural,2024-02-10,Surface,Critical,Manual Testing,53.77,2024-02
533,49,Cosmetic,2024-04-03,Surface,Minor,Visual Inspection,369.83,2024-04
534,14,Cosmetic,2024-04-11,Surface,Minor,Visual Inspection,398.17,2024-04
535,88,Structural,2024-03-21,Internal,Critical,Automated Testing,825.57,2024-03
536,8,Functional,2024-05-13,Internal,Critical,Automated Testing,201.88,2024-05
537,91,Cosmetic,2024-06-13,Component,Critical,Visual Inspection,47.47,2024-06
538,1,Structural,2024-05-11,Component,Moderate,Automated Testing,856.33,2024-05
539,15,Cosmetic,2024-05-12,Internal,Moderate,Manual Testing,497.65,2024-05
540,20,Cosmetic,2024-02-14,Internal,Minor,Manual Testing,908.53,2024-02
541,16,Cosmetic,2024-04-29,Component,Critical,Manual Testing,371.88,2024-04
542,49,Functional,2024-06-25,Surface,Moderate,Manual Testing,960.15,2024-06
543,76,Structural,2024-03-18,Component,Minor,Visual Inspection,73.55,2024-03
544,56,Cosmetic,2024-01-12,Component,Minor,Automated Testing,615.43,2024-01
545,21,Structural,2024-06-17,Component,Minor,Visual Inspection,619.02,2024-06
546,17,Functional,2024-01-15,Component,Minor,Manual Testing,677.64,2024-01
547,10,Cosmetic,2024-02-25,Surface,Moderate,Visual Inspection,684.16,2024-02
548,90,Functional,2024-03-26,Internal,Critical,Automated Testing,536.37,2024-03
549,8,Cosmetic,2024-01-22,Surface,Minor,Visual Inspection,47.22,2024-01
550,27,Structural,2024-05-26,Surface,Minor,Automated Testing,704.44,2024-05
551,87,Functional,2024-04-15,Surface,Minor,Automated Testing,512.02,2024-04
552,93,Structural,2024-06-04,Component,Minor,Automated Testing,36.04,2024-06
553,12,Functional,2024-01-10,Surface,Critical,Manual Testing,811.65,2024-01
554,30,Functional,2024-01-28,Internal,Critical,Automated Testing,900.37,2024-01
555,4,Functional,2024-03-06,Component,Minor,Automated Testing,644.51,2024-03
556,71,Functional,2024-02-11,Surface,Minor,Visual Inspection,355.85,2024-02
557,97,Functional,2024-03-03,Internal,Minor,Manual Testing,945.18,2024-03
558,12,Structural,2024-04-13,Internal,Minor,Visual Inspection,201.79,2024-04
559,17,Cosmetic,2024-02-26,Internal,Minor,Manual Testing,73.0,2024-02
560,94,Cosmetic,2024-01-09,Surface,Moderate,Manual Testing,769.57,2024-01
561,45,Functional,2024-03-27,Surface,Moderate,Automated Testing,930.11,2024-03
562,72,Cosmetic,2024-01-15,Internal,Moderate,Manual Testing,554.98,2024-01
563,56,Functional,2024-02-13,Component,Minor,Automated Testing,826.59,2024-02
564,93,Functional,2024-02-18,Surface,Critical,Manual Testing,362.82,2024-02
565,58,Structural,2024-01-15,Surface,Minor,Manual Testing,946.8,2024-01
566,96,Cosmetic,2024-02-17,Internal,Minor,Automated Testing,192.28,2024-02
567,38,Functional,2024-04-04,Internal,Critical,Automated Testing,383.41,2024-04
568,62,Structural,2024-03-19,Surface,Minor,Automated Testing,132.83,2024-03
569,97,Functional,2024-05-14,Component,Critical,Automated Testing,904.32,2024-05
570,12,Cosmetic,2024-03-22,Internal,Critical,Visual Inspection,944.63,2024-03
571,47,Functional,2024-04-19,Surface,Critical,Manual Testing,524.5,2024-04
572,73,Structural,2024-02-17,Internal,Critical,Visual Inspection,976.75,2024-02
573,46,Cosmetic,2024-02-27,Internal,Critical,Visual Inspection,508.94,2024-02
574,5,Functional,2024-01-21,Component,Critical,Visual Inspection,565.86,2024-01
575,72,Functional,2024-03-07,Component,Minor,Visual Inspection,151.62,2024-03
576,99,Structural,2024-04-10,Surface,Critical,Automated Testing,394.88,2024-04
577,1,Functional,2024-04-21,Surface,Critical,Visual Inspection,404.22,2024-04
578,26,Structural,2024-06-09,Component,Minor,Visual Inspection,564.82,2024-06
579,100,Structural,2024-04-12,Internal,Minor,Manual Testing,722.21,2024-04
580,15,Structural,2024-03-04,Internal,Moderate,Visual Inspection,16.05,2024-03
581,9,Functional,2024-06-20,Internal,Moderate,Manual Testing,666.31,2024-06
582,80,Cosmetic,2024-06-08,Component,Moderate,Automated Testing,346.73,2024-06
583,86,Structural,2024-06-29,Internal,Moderate,Automated Testing,138.42,2024-06
584,42,Structural,2024-06-29,Component,Minor,Visual Inspection,663.53,2024-06
585,19,Structural,2024-06-01,Surface,Critical,Automated Testing,150.78,2024-06
586,97,Cosmetic,2024-03-11,Surface,Critical,Automated Testing,503.25,2024-03
587,68,Structural,2024-02-03,Surface,Moderate,Manual Testing,576.57,2024-02
588,40,Structural,2024-02-26,Surface,Moderate,Visual Inspection,204.6,2024-02
589,8,Structural,2024-03-03,Internal,Moderate,Visual Inspection,410.72,2024-03
590,90,Structural,2024-02-17,Component,Minor,Manual Testing,50.38,2024-02
591,90,Functional,2024-02-09,Surface,Moderate,Manual Testing,400.31,2024-02
592,7,Structural,2024-06-01,Internal,Minor,Automated Testing,301.7,2024-06
593,73,Functional,2024-06-23,Surface,Moderate,Visual Inspection,64.74,2024-06
594,96,Cosmetic,2024-01-14,Surface,Moderate,Automated Testing,485.27,2024-01
595,60,Cosmetic,2024-06-21,Surface,Moderate,Automated Testing,194.44,2024-06
596,74,Structural,2024-06-16,Internal,Moderate,Automated Testing,891.01,2024-06
597,26,Cosmetic,2024-04-19,Internal,Critical,Automated Testing,267.51,2024-04
598,50,Functional,2024-06-08,Component,Critical,Automated Testing,151.43,2024-06
599,36,Functional,2024-04-20,Internal,Critical,Manual Testing,297.76,2024-04
600,46,Cosmetic,2024-04-21,Component,Critical,Manual Testing,663.35,2024-04
601,46,Structural,2024-04-24,Internal,Moderate,Visual Inspection,927.75,2024-04
602,74,Cosmetic,2024-02-10,Surface,Moderate,Visual Inspection,283.6,2024-02
603,45,Structural,2024-03-21,Surface,Moderate,Manual Testing,919.65,2024-03
604,100,Functional,2024-03-25,Surface,Critical,Visual Inspection,302.29,2024-03
605,63,Functional,2024-05-27,Surface,Moderate,Automated Testing,309.53,2024-05
606,63,Structural,2024-04-13,Surface,Minor,Manual Testing,478.6,2024-04
607,75,Cosmetic,2024-05-30,Component,Minor,Visual Inspection,419.58,2024-05
608,5,Cosmetic,2024-03-25,Surface,Minor,Automated Testing,685.3,2024-03
609,5,Structural,2024-05-06,Internal,Critical,Visual Inspection,390.64,2024-05
610,81,Cosmetic,2024-05-12,Internal,Minor,Manual Testing,837.9,2024-05
611,80,Functional,2024-01-20,Internal,Minor,Manual Testing,67.82,2024-01
612,56,Structural,2024-04-13,Internal,Minor,Manual Testing,21.12,2024-04
613,68,Structural,2024-01-08,Surface,Moderate,Visual Inspection,700.72,2024-01
614,67,Cosmetic,2024-01-18,Surface,Critical,Manual Testing,893.3,2024-01
615,53,Cosmetic,2024-03-02,Surface,Moderate,Automated Testing,736.75,2024-03
616,81,Functional,2024-03-09,Internal,Critical,Manual Testing,803.54,2024-03
617,47,Functional,2024-03-23,Internal,Moderate,Automated Testing,21.17,2024-03
618,92,Functional,2024-02-29,Component,Minor,Manual Testing,678.59,2024-02
619,87,Functional,2024-02-18,Component,Moderate,Automated Testing,220.01,2024-02
620,51,Cosmetic,2024-02-03,Internal,Critical,Manual Testing,251.67,2024-02
621,61,Structural,2024-04-10,Surface,Critical,Manual Testing,808.85,2024-04
622,87,Structural,2024-01-06,Internal,Minor,Manual Testing,537.35,2024-01
623,8,Cosmetic,2024-04-06,Component,Moderate,Manual Testing,178.3,2024-04
624,56,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,638.8,2024-01
625,98,Functional,2024-06-24,Internal,Critical,Automated Testing,770.66,2024-06
626,7,Structural,2024-04-19,Component,Minor,Visual Inspection,289.27,2024-04
627,24,Structural,2024-05-15,Component,Minor,Automated Testing,779.02,2024-05
628,23,Structural,2024-01-04,Surface,Moderate,Automated Testing,704.06,2024-01
629,43,Functional,2024-04-16,Internal,Critical,Visual Inspection,546.42,2024-04
630,95,Functional,2024-06-23,Component,Moderate,Visual Inspection,780.89,2024-06
631,13,Cosmetic,2024-05-03,Surface,Minor,Manual Testing,303.08,2024-05
632,72,Structural,2024-05-04,Internal,Minor,Automated Testing,557.57,2024-05
633,28,Functional,2024-01-28,Component,Minor,Manual Testing,222.11,2024-01
634,94,Functional,2024-05-23,Internal,Minor,Visual Inspection,575.47,2024-05
635,60,Structural,2024-06-14,Component,Minor,Automated Testing,478.44,2024-06
636,17,Functional,2024-02-05,Surface,Moderate,Visual Inspection,32.62,2024-02
637,21,Functional,2024-05-29,Component,Critical,Automated Testing,121.29,2024-05
638,89,Cosmetic,2024-04-07,Component,Moderate,Automated Testing,967.29,2024-04
639,43,Cosmetic,2024-01-17,Surface,Moderate,Visual Inspection,200.29,2024-01
640,5,Cosmetic,2024-06-21,Internal,Minor,Automated Testing,185.0,2024-06
641,7,Functional,2024-01-30,Internal,Moderate,Manual Testing,959.61,2024-01
642,28,Structural,2024-01-26,Component,Critical,Visual Inspection,170.66,2024-01
643,27,Cosmetic,2024-06-17,Component,Minor,Visual Inspection,563.94,2024-06
644,58,Cosmetic,2024-06-08,Internal,Minor,Automated Testing,52.03,2024-06
645,33,Functional,2024-06-07,Component,Critical,Automated Testing,474.62,2024-06
646,20,Structural,2024-01-14,Surface,Moderate,Visual Inspection,263.76,2024-01
647,11,Cosmetic,2024-05-03,Component,Moderate,Automated Testing,758.91,2024-05
648,31,Cosmetic,2024-01-09,Component,Critical,Visual Inspection,59.04,2024-01
649,76,Cosmetic,2024-01-11,Internal,Moderate,Visual Inspection,647.01,2024-01
650,32,Cosmetic,2024-05-21,Internal,Moderate,Manual Testing,451.58,2024-05
651,34,Structural,2024-02-09,Internal,Minor,Manual Testing,221.25,2024-02
652,66,Cosmetic,2024-04-19,Component,Critical,Manual Testing,194.9,2024-04
653,62,Functional,2024-02-29,Surface,Minor,Automated Testing,433.75,2024-02
654,86,Cosmetic,2024-06-19,Surface,Critical,Automated Testing,264.85,2024-06
655,91,Cosmetic,2024-03-16,Surface,Moderate,Automated Testing,230.68,2024-03
656,63,Cosmetic,2024-06-21,Surface,Minor,Visual Inspection,836.11,2024-06
657,73,Structural,2024-03-27,Surface,Critical,Manual Testing,703.94,2024-03
658,94,Structural,2024-06-09,Surface,Moderate,Visual Inspection,814.84,2024-06
659,88,Structural,2024-01-19,Component,Minor,Visual Inspection,153.25,2024-01
660,12,Functional,2024-03-28,Internal,Minor,Visual Inspection,324.09,2024-03
661,48,Structural,2024-02-06,Component,Moderate,Visual Inspection,436.9,2024-02
662,35,Cosmetic,2024-06-17,Surface,Minor,Manual Testing,917.26,2024-06
663,25,Cosmetic,2024-01-13,Component,Critical,Automated Testing,45.26,2024-01
664,47,Functional,2024-01-26,Surface,Critical,Visual Inspection,416.2,2024-01
665,55,Functional,2024-05-16,Component,Minor,Manual Testing,246.83,2024-05
666,45,Structural,2024-01-03,Component,Critical,Visual Inspection,824.28,2024-01
667,12,Cosmetic,2024-06-02,Surface,Minor,Visual Inspection,680.74,2024-06
668,33,Structural,2024-02-26,Surface,Critical,Automated Testing,376.62,2024-02
669,3,Functional,2024-01-10,Surface,Moderate,Manual Testing,400.79,2024-01
670,15,Structural,2024-02-19,Component,Critical,Visual Inspection,496.72,2024-02
671,45,Structural,2024-04-21,Component,Moderate,Manual Testing,369.13,2024-04
672,16,Functional,2024-05-19,Internal,Moderate,Automated Testing,916.45,2024-05
673,63,Functional,2024-05-01,Internal,Minor,Visual Inspection,152.08,2024-05
674,63,Structural,2024-01-06,Surface,Moderate,Visual Inspection,373.52,2024-01
675,96,Cosmetic,2024-05-12,Surface,Critical,Visual Inspection,345.64,2024-05
676,4,Cosmetic,2024-04-06,Internal,Critical,Visual Inspection,33.95,2024-04
677,2,Structural,2024-01-04,Component,Critical,Visual Inspection,478.44,2024-01
678,19,Functional,2024-03-20,Component,Critical,Manual Testing,884.03,2024-03
679,61,Structural,2024-01-23,Internal,Critical,Visual Inspection,113.64,2024-01
680,5,Structural,2024-01-19,Component,Moderate,Visual Inspection,479.38,2024-01
681,8,Structural,2024-01-16,Internal,Critical,Visual Inspection,395.56,2024-01
682,6,Structural,2024-01-13,Component,Moderate,Manual Testing,290.66,2024-01
683,18,Cosmetic,2024-02-25,Component,Minor,Visual Inspection,309.32,2024-02
684,33,Structural,2024-03-16,Component,Moderate,Manual Testing,28.05,2024-03
685,40,Structural,2024-06-24,Surface,Critical,Visual Inspection,37.69,2024-06
686,35,Cosmetic,2024-01-23,Internal,Critical,Automated Testing,293.44,2024-01
687,99,Functional,2024-03-16,Component,Minor,Visual Inspection,249.02,2024-03
688,65,Structural,2024-02-18,Surface,Minor,Manual Testing,327.88,2024-02
689,56,Cosmetic,2024-03-09,Surface,Critical,Manual Testing,749.31,2024-03
690,96,Cosmetic,2024-05-26,Component,Minor,Automated Testing,19.23,2024-05
691,4,Functional,2024-05-31,Internal,Critical,Manual Testing,470.43,2024-05
692,67,Cosmetic,2024-02-18,Component,Critical,Automated Testing,135.49,2024-02
693,95,Structural,2024-06-26,Component,Minor,Manual Testing,531.4,2024-06
694,18,Cosmetic,2024-02-16,Surface,Critical,Manual Testing,205.83,2024-02
695,97,Cosmetic,2024-04-20,Component,Moderate,Visual Inspection,547.02,2024-04
696,84,Functional,2024-01-06,Component,Moderate,Visual Inspection,459.29,2024-01
697,51,Cosmetic,2024-04-02,Surface,Critical,Manual Testing,762.32,2024-04
698,34,Cosmetic,2024-03-29,Component,Moderate,Visual Inspection,684.85,2024-03
699,1,Cosmetic,2024-04-04,Component,Critical,Automated Testing,940.9,2024-04
700,41,Cosmetic,2024-02-13,Surface,Minor,Manual Testing,894.66,2024-02
701,67,Functional,2024-03-30,Component,Minor,Manual Testing,10.44,2024-03
702,43,Cosmetic,2024-04-20,Component,Minor,Visual Inspection,878.23,2024-04
703,34,Structural,2024-01-31,Internal,Minor,Automated Testing,164.64,2024-01
704,7,Structural,2024-02-02,Internal,Critical,Visual Inspection,132.46,2024-02
705,54,Functional,2024-02-03,Internal,Moderate,Automated Testing,789.51,2024-02
706,37,Functional,2024-05-24,Component,Moderate,Visual Inspection,969.4,2024-05
707,86,Functional,2024-03-14,Surface,Critical,Automated Testing,667.18,2024-03
708,22,Functional,2024-04-09,Component,Minor,Manual Testing,781.35,2024-04
709,79,Functional,2024-03-10,Component,Minor,Automated Testing,711.6,2024-03
710,4,Cosmetic,2024-06-26,Surface,Moderate,Visual Inspection,91.9,2024-06
711,36,Cosmetic,2024-05-28,Internal,Minor,Manual Testing,767.74,2024-05
712,74,Structural,2024-03-30,Surface,Minor,Visual Inspection,535.88,2024-03
713,36,Structural,2024-02-29,Internal,Critical,Automated Testing,390.43,2024-02
714,66,Cosmetic,2024-06-04,Component,Minor,Visual Inspection,932.34,2024-06
715,27,Functional,2024-04-21,Surface,Moderate,Manual Testing,763.5,2024-04
716,86,Structural,2024-04-05,Surface,Minor,Visual Inspection,438.58,2024-04
717,84,Cosmetic,2024-01-01,Internal,Minor,Manual Testing,147.94,2024-01
718,33,Cosmetic,2024-03-11,Internal,Minor,Automated Testing,967.35,2024-03
719,18,Cosmetic,2024-04-04,Internal,Minor,Manual Testing,909.42,2024-04
720,77,Functional,2024-02-02,Internal,Moderate,Manual Testing,617.24,2024-02
721,44,Cosmetic,2024-04-26,Component,Moderate,Manual Testing,552.0,2024-04
722,76,Structural,2024-03-10,Internal,Minor,Manual Testing,746.64,2024-03
723,25,Structural,2024-01-27,Internal,Critical,Visual Inspection,133.43,2024-01
724,58,Structural,2024-02-21,Surface,Moderate,Manual Testing,437.82,2024-02
725,15,Cosmetic,2024-03-27,Surface,Minor,Visual Inspection,713.29,2024-03
726,24,Cosmetic,2024-02-25,Surface,Critical,Automated Testing,321.04,2024-02
727,92,Functional,2024-01-12,Surface,Minor,Automated Testing,988.41,2024-01
728,5,Structural,2024-01-10,Component,Critical,Manual Testing,164.56,2024-01
729,74,Structural,2024-02-28,Component,Moderate,Manual Testing,357.07,2024-02
730,31,Structural,2024-03-19,Surface,Minor,Automated Testing,189.23,2024-03
731,37,Cosmetic,2024-05-30,Component,Moderate,Manual Testing,840.24,2024-05
732,44,Structural,2024-02-21,Internal,Minor,Automated Testing,630.5,2024-02
733,28,Functional,2024-02-06,Surface,Moderate,Manual Testing,584.54,2024-02
734,85,Functional,2024-02-16,Surface,Moderate,Automated Testing,995.47,2024-02
735,60,Structural,2024-02-12,Surface,Critical,Manual Testing,894.31,2024-02
736,63,Functional,2024-01-21,Component,Minor,Automated Testing,420.57,2024-01
737,46,Structural,2024-04-14,Component,Moderate,Visual Inspection,71.86,2024-04
738,81,Structural,2024-05-04,Internal,Minor,Manual Testing,895.96,2024-05
739,98,Cosmetic,2024-02-04,Component,Moderate,Manual Testing,491.28,2024-02
740,79,Functional,2024-04-23,Internal,Moderate,Manual Testing,63.99,2024-04
741,91,Cosmetic,2024-04-06,Internal,Minor,Visual Inspection,409.99,2024-04
742,51,Cosmetic,2024-01-06,Internal,Critical,Automated Testing,391.78,2024-01
743,27,Cosmetic,2024-01-24,Internal,Minor,Manual Testing,921.78,2024-01
744,30,Cosmetic,2024-06-10,Component,Minor,Manual Testing,789.34,2024-06
745,97,Cosmetic,2024-05-08,Internal,Moderate,Visual Inspection,862.7,2024-05
746,93,Structural,2024-02-09,Component,Minor,Manual Testing,395.02,2024-02
747,52,Cosmetic,2024-03-03,Surface,Minor,Visual Inspection,507.39,2024-03
748,41,Cosmetic,2024-02-14,Internal,Moderate,Manual Testing,990.02,2024-02
749,64,Functional,2024-06-17,Component,Minor,Visual Inspection,466.97,2024-06
